"Accession","Title","Technology","Taxonomy","Data.Rows","Samples.Count","Series.Count","Contact","Release.Date"
"GPL28303","Illumina HiSeq 2500 (Piaractus mesopotamicus)","high-throughput sequencing","Piaractus mesopotamicus",0,0,0,"GEO","Mar 25, 2020"
"GPL28304","Illumina HiSeq 2500 (Piaractus mesopotamicus x Colossoma macropomum)","high-throughput sequencing","Piaractus mesopotamicus x Colossoma macropomum",0,0,0,"GEO","Mar 25, 2020"
"GPL28305","Illumina HiSeq 2000 (Chlamydia trachomatis)","high-throughput sequencing","Chlamydia trachomatis",0,0,0,"GEO","Mar 25, 2020"
"GPL24051","Agilent-070156 Human miRNA 8X60K Array V21.0 (Feature Number version)","in situ oligonucleotide","Homo sapiens",53144,8,1,"Chad Creighton","Mar 24, 2020"
"GPL28300","Illumina NovaSeq 6000 (Brassica rapa)","high-throughput sequencing","Brassica rapa",0,6,1,"GEO","Mar 24, 2020"
"GPL28298","Illumina HiSeq 2000 (Mus Muscuus)","high-throughput sequencing","Mus Muscuus",0,0,0,"GEO","Mar 23, 2020"
"GPL28299","Illumina HiSeq 4000 (Stylosanthes guianensis)","high-throughput sequencing","Stylosanthes guianensis",0,0,0,"GEO","Mar 23, 2020"
"GPL27959","[MtubEX1] Affymetrix Custom GeneChip Mycobacterium tuberculosis","in situ oligonucleotide","Mycobacterium tuberculosis",5360,46,1,"Philip Kam Weng Kwan","Mar 22, 2020"
"GPL28297","Illumina HiSeq 4000 (Escherichia coli; Pseudomonas putida KT2440)","high-throughput sequencing","Escherichia coli;Pseudomonas putida KT2440",0,3,1,"GEO","Mar 21, 2020"
"GPL28294","Illumina NextSeq 500 (Marmota monax)","high-throughput sequencing","Marmota monax",0,0,0,"GEO","Mar 20, 2020"
"GPL28295","Illumina HiSeq 2500 (Desmophyllum pertusum)","high-throughput sequencing","Desmophyllum pertusum",0,0,0,"GEO","Mar 20, 2020"
"GPL28296","Ion Torrent PGM (Klebsiella pneumoniae)","high-throughput sequencing","Klebsiella pneumoniae",0,16,1,"GEO","Mar 20, 2020"
"GPL25932","[RJPGene-1_1-st] Affymetrix Rice (US) Gene 1.0 ST Array [transcript (gene) version]","in situ oligonucleotide","Oryza sativa",36643,12,1,"Pascal Gantet","Mar 19, 2020"
"GPL28287","Prime PCR LncRNA Array","RT-PCR","Homo sapiens",96,6,1,"Yong Zhou","Mar 19, 2020"
"GPL28290","DNBSEQ-G400 (Arabidopsis thaliana)","high-throughput sequencing","Arabidopsis thaliana",0,0,0,"GEO","Mar 19, 2020"
"GPL28291","Illumina HiSeq 2500 (Halanaerobium congolense)","high-throughput sequencing","Halanaerobium congolense",0,13,1,"GEO","Mar 19, 2020"
"GPL27488","Agilent-045772  F. candida 1209_SBC [Probe Name]","in situ oligonucleotide","Folsomia candida",6223,18,1,"Qianqian Zhang","Mar 18, 2020"
"GPL28285","NanoString nCounter PanCancer Immune Profiling Panel","other","Homo sapiens",784,54,1,"Oliver Weigert","Mar 18, 2020"
"GPL28289","Illumina HiScanSQ (Panicum miliaceum)","high-throughput sequencing","Panicum miliaceum",0,0,0,"GEO","Mar 18, 2020"
"GPL28275","NanoString nCounter Elements XT","other","Homo sapiens",24,104,1,"Oliver Weigert","Mar 17, 2020"
"GPL28280","Illumina HiSeq 4000 (Juglans regia)","high-throughput sequencing","Juglans regia",0,20,1,"GEO","Mar 17, 2020"
"GPL28282","Illumina NovaSeq 6000 (Dengue virus 1 Nauru/West Pac/1974; Homo sapiens)","high-throughput sequencing","Dengue virus 1 Nauru/West Pac/1974;Homo sapiens",0,0,0,"GEO","Mar 17, 2020"
"GPL28283","Illumina NovaSeq 6000 (Dengue virus; Homo sapiens)","high-throughput sequencing","Dengue virus;Homo sapiens",0,0,0,"GEO","Mar 17, 2020"
"GPL28284","Illumina HiSeq 2000 (Pecten maximus)","high-throughput sequencing","Pecten maximus",0,0,0,"GEO","Mar 17, 2020"
"GPL28273","Illumina HiSeq 2000 (Cronobacter sakazakii)","high-throughput sequencing","Cronobacter sakazakii",0,0,0,"GEO","Mar 16, 2020"
"GPL28274","Illumina HiSeq 2000 (feces metagenome)","high-throughput sequencing","feces metagenome",0,0,0,"GEO","Mar 16, 2020"
"GPL28277","Illumina HiSeq 2500 (Sphingomonas sp. AAP5)","high-throughput sequencing","Sphingomonas sp. AAP5",0,0,0,"GEO","Mar 16, 2020"
"GPL28278","Illumina NextSeq 500 (Bacteroides thetaiotaomicron VPI-5482)","high-throughput sequencing","Bacteroides thetaiotaomicron VPI-5482",0,0,0,"GEO","Mar 16, 2020"
"GPL28279","Illumina HiSeq 2500 (Bacteroides thetaiotaomicron VPI-5482)","high-throughput sequencing","Bacteroides thetaiotaomicron VPI-5482",0,0,0,"GEO","Mar 16, 2020"
"GPL28216","Arraystar nrStar™ Human Functional LncRNA PCR Array","RT-PCR","Homo sapiens",96,6,1,"Yunhong Zhan","Mar 15, 2020"
"GPL28270","Illumina HumanHT-12 v4 Expression BeadChip [Array_Address_Id]","oligonucleotide beads","Homo sapiens",47323,9,1,"Ozlem Guzeloglu Kayisli","Mar 14, 2020"
"GPL28269","PacBio RS (Drosophila melanogaster)","high-throughput sequencing","Drosophila melanogaster",0,0,0,"GEO","Mar 13, 2020"
"GPL28267","Pseudomonas putida KT2440 plus RP4 plasmid_4plex array","in situ oligonucleotide","Pseudomonas putida KT2440",5501,16,1,"Masatoshi Miyakoshi","Mar 12, 2020"
"GPL28262","3D-Gene Mouse miRNA Oligo chip","spotted oligonucleotide","Mus musculus",1900,1,1,"Naohiro Seo","Mar 12, 2020"
"GPL28263","Rexxam(96 lectins) array chip","spotted oligonucleotide","synthetic construct",96,9,1,"Naohiro Seo","Mar 12, 2020"
"GPL28266","Illumina NextSeq 500 (Bombyx mori; Caenorhabditis elegans; Mus musculus)","high-throughput sequencing","Bombyx mori;Caenorhabditis elegans;Mus musculus",0,0,0,"GEO","Mar 12, 2020"
"GPL28247","Agilent-071956 custom Camellia oleifera gene expression profile chip (Probe Name version)","in situ oligonucleotide","Camellia oleifera",35089,24,1,"Nan Jiang","Mar 11, 2020"
"GPL28259","Illumina HiSeq 2000 (Chlorella sp. HS2)","high-throughput sequencing","Chlorella sp. HS2",0,12,1,"GEO","Mar 11, 2020"
"GPL28260","Illumina HiSeq 2000 (Pyrus communis)","high-throughput sequencing","Pyrus communis",0,12,1,"GEO","Mar 11, 2020"
"GPL23595","081229_Dm_JM_ChIP_1_HX1 Drosophila melanogaster tiling array","in situ oligonucleotide","Drosophila melanogaster",2145036,4,2,"John R Manak","Mar 10, 2020"
"GPL23596","081229_Dm_JM_ChIP_2_HX1 Drosophila melanogaster tiling array","in situ oligonucleotide","Drosophila melanogaster",2145021,4,2,"John R Manak","Mar 10, 2020"
"GPL23597","Agilent-064928 DrosophilaManakChip1 G4123A","in situ oligonucleotide","Drosophila melanogaster",969802,14,5,"John R Manak","Mar 10, 2020"
"GPL23598","Agilent-064901 DrosophilaManakChip2 G4123A","in situ oligonucleotide","Drosophila melanogaster",969326,14,5,"John R Manak","Mar 10, 2020"
"GPL28243","NanoString nCounter Human Custom Reporter Codeset","other","Homo sapiens",37,28,3,"Jamie Ian Vandenberg","Mar 10, 2020"
"GPL28246","Illumina NovaSeq 6000 (Fusarium solani)","high-throughput sequencing","Fusarium solani",0,12,1,"GEO","Mar 10, 2020"
"GPL28248","HiSeq X Ten (Toxoplasma gondii)","high-throughput sequencing","Toxoplasma gondii",0,3,1,"GEO","Mar 10, 2020"
"GPL28249","HiSeq X Ten (Sus scrofa; Toxoplasma gondii)","high-throughput sequencing","Sus scrofa;Toxoplasma gondii",0,3,1,"GEO","Mar 10, 2020"
"GPL28250","HiSeq X Ten (Sporobolus alterniflorus)","high-throughput sequencing","Sporobolus alterniflorus",0,0,0,"GEO","Mar 10, 2020"
"GPL28251","HiSeq X Ten (Setaria viridis)","high-throughput sequencing","Setaria viridis",0,0,0,"GEO","Mar 10, 2020"
"GPL28252","NextSeq 550 (Schistosoma mansoni)","high-throughput sequencing","Schistosoma mansoni",0,18,3,"GEO","Mar 10, 2020"
"GPL28244","Illumina HiSeq 2000 (Homo)","high-throughput sequencing","Homo",0,0,0,"GEO","Mar 09, 2020"
"GPL28245","HiSeq X Ten (Pseudomonas savastanoi pv. phaseolicola 1448A)","high-throughput sequencing","Pseudomonas savastanoi pv. phaseolicola 1448A",0,0,0,"GEO","Mar 09, 2020"
"GPL28238","BGISEQ-500 (Columba livia)","high-throughput sequencing","Columba livia",0,2,1,"GEO","Mar 08, 2020"
"GPL28239","Illumina HiSeq 3000 (Physcomitrella patens)","high-throughput sequencing","Physcomitrella patens",0,0,0,"GEO","Mar 08, 2020"
"GPL28240","Illumina NovaSeq 6000 (Callithrix jacchus)","high-throughput sequencing","Callithrix jacchus",0,0,0,"GEO","Mar 08, 2020"
"GPL28241","Illumina NovaSeq 6000 (Conopomorpha cramerella)","high-throughput sequencing","Conopomorpha cramerella",0,0,0,"GEO","Mar 08, 2020"
"GPL28233","Fluidigm Mouse C1 PCR Assay","RT-PCR","Mus musculus",96,192,1,"Michael Januszyk","Mar 07, 2020"
"GPL28236","[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [HuGene21st_Hs_ENTREZG_18.0.0]","in situ oligonucleotide","Homo sapiens",25088,80,1,"GEO admin","Mar 06, 2020"
"GPL28237","Illumina HiSeq 3000 (Tetranychus urticae)","high-throughput sequencing","Tetranychus urticae",0,4,1,"GEO","Mar 06, 2020"
"GPL26813","Agilent-074191 Zebrafish Gene Expression Microarray 8X60K (Probe Name version)","in situ oligonucleotide","Danio rerio",44336,4,1,"vivek Natarajan","Mar 05, 2020"
"GPL27906","Fluidigm 96.96 Dynamic array IFC","RT-PCR","Mus musculus",54,41,1,"Saeedeh Darzi","Mar 05, 2020"
"GPL28221","Exiqon miRCURY LNA microRNA array, 6th generation [miRBase v16, condensed Probe_ID version]","spotted oligonucleotide","Mus musculus",3556,0,0,"Ao Shen","Mar 05, 2020"
"GPL28228","[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [CDF: Brainarray HuGene10stv1_Hs_REFSEQ_23.0.0]","in situ oligonucleotide","Homo sapiens",125281,0,0,"GEO admin","Mar 05, 2020"
"GPL28229","Illumina HiSeq 4000 (Daucus carota)","high-throughput sequencing","Daucus carota",0,10,1,"GEO","Mar 05, 2020"
"GPL28230","HiSeq X Ten (Cryptococcus neoformans var. grubii H99)","high-throughput sequencing","Cryptococcus neoformans var. grubii H99",0,0,0,"GEO","Mar 05, 2020"
"GPL28231","Illumina HiSeq 4000 (Pseudomonas fluorescens)","high-throughput sequencing","Pseudomonas fluorescens",0,2,1,"GEO","Mar 05, 2020"
"GPL28213","GeoChip 3.0 [Probe-level version]","spotted oligonucleotide","Archaea;Bacteria;Fungi;Viruses",24675,6,1,"Stefano MOCALI","Mar 04, 2020"
"GPL28222","NextSeq 550 (Salmonella enterica subsp. enterica serovar Typhimurium)","high-throughput sequencing","Salmonella enterica subsp. enterica serovar Typhimurium",0,0,0,"GEO","Mar 04, 2020"
"GPL28223","NextSeq 550 (Homo sapiens; Salmonella enterica subsp. enterica serovar Typhimurium)","high-throughput sequencing","Homo sapiens;Salmonella enterica subsp. enterica serovar Typhimurium",0,0,0,"GEO","Mar 04, 2020"
"GPL28224","Illumina NextSeq 500 (Drepana arcuata)","high-throughput sequencing","Drepana arcuata",0,0,0,"GEO","Mar 04, 2020"
"GPL28225","Illumina HiSeq 4000 (Ectocarpus sp. Ec32)","high-throughput sequencing","Ectocarpus sp. Ec32",0,0,0,"GEO","Mar 04, 2020"
"GPL28227","Illumina HiSeq 4000 (Bactrocera dorsalis)","high-throughput sequencing","Bactrocera dorsalis",0,0,0,"GEO","Mar 04, 2020"
"GPL28210","Illumina HiSeq 4000 (Escherichia coli BL21(DE3))","high-throughput sequencing","Escherichia coli BL21(DE3)",0,4,1,"GEO","Mar 03, 2020"
"GPL28211","HiSeq X Ten (Galleria mellonella)","high-throughput sequencing","Galleria mellonella",0,0,0,"GEO","Mar 03, 2020"
"GPL28212","Illumina NovaSeq 6000 (Macaca fascicularis)","high-throughput sequencing","Macaca fascicularis",0,0,0,"GEO","Mar 03, 2020"
"GPL28214","Illumina HiSeq 4000 (Prunus persica)","high-throughput sequencing","Prunus persica",0,0,0,"GEO","Mar 03, 2020"
"GPL28215","Illumina HiSeq 4000 (Saccharomyces cerevisiae; Schizosaccharomyces pombe)","high-throughput sequencing","Saccharomyces cerevisiae;Schizosaccharomyces pombe",0,32,4,"GEO","Mar 03, 2020"
"GPL28218","Illumina MiSeq (Yersinia ruckeri)","high-throughput sequencing","Yersinia ruckeri",0,20,1,"GEO","Mar 03, 2020"
"GPL24854","Agilent-074004 Tomato Custom Microarray Design","in situ oligonucleotide","Solanum lycopersicum",45220,8,1,"Archana Koul","Mar 02, 2020"
"GPL28205","Illumina HiSeq 2000 (Drosophila melanogaster; Homo sapiens)","high-throughput sequencing","Drosophila melanogaster;Homo sapiens",0,0,0,"GEO","Mar 02, 2020"
"GPL28207","Illumina HiSeq 2000 (Escherichia coli; Escherichia virus T4)","high-throughput sequencing","Escherichia coli;Escherichia virus T4",0,0,0,"GEO","Mar 02, 2020"
"GPL28208","Illumina HiSeq 3000 (Synechococcus sp. WH 7803)","high-throughput sequencing","Synechococcus sp. WH 7803",0,0,0,"GEO","Mar 02, 2020"
"GPL28209","HiSeq X Ten (Metarhizium robertsii ARSEF 2575)","high-throughput sequencing","Metarhizium robertsii ARSEF 2575",0,2,1,"GEO","Mar 02, 2020"
"GPL23191","Ocimum Biosolutions human oligo array (19K)","spotted oligonucleotide","Homo sapiens",19807,0,0,"Marja Steenman","Mar 01, 2020"
"GPL28204","Illumina HiSeq 3000 (Pimephales promelas)","high-throughput sequencing","Pimephales promelas",0,0,0,"GEO","Feb 28, 2020"
"GPL28203","Illumina HiSeq 2000 (Laxus oneistus)","high-throughput sequencing","Laxus oneistus",0,0,0,"GEO","Feb 27, 2020"
"GPL28198","Illumina NovaSeq 6000 (Spinacia oleracea)","high-throughput sequencing","Spinacia oleracea",0,0,0,"GEO","Feb 26, 2020"
"GPL28199","Illumina HiSeq 4000 (Microcebus murinus)","high-throughput sequencing","Microcebus murinus",0,0,0,"GEO","Feb 26, 2020"
"GPL28200","Illumina HiSeq 2000 (Flaveria ramosissima)","high-throughput sequencing","Flaveria ramosissima",0,0,0,"GEO","Feb 26, 2020"
"GPL28201","Illumina HiSeq 2000 (Pinctada fucata)","high-throughput sequencing","Pinctada fucata",0,0,0,"GEO","Feb 26, 2020"
"GPL28196","Illumina NovaSeq 6000 (Thermococcus kodakarensis)","high-throughput sequencing","Thermococcus kodakarensis",0,0,0,"GEO","Feb 25, 2020"
"GPL28197","Illumina HiSeq 2000 (Carassius gibelio)","high-throughput sequencing","Carassius gibelio",0,4,1,"GEO","Feb 25, 2020"
"GPL28187","Illumina NovaSeq 6000 (Toxoplasma gondii RH)","high-throughput sequencing","Toxoplasma gondii RH",0,23,1,"GEO","Feb 24, 2020"
"GPL28189","Illumina HiSeq 2000 (Cochliomyia hominivorax)","high-throughput sequencing","Cochliomyia hominivorax",0,0,0,"GEO","Feb 24, 2020"
"GPL28190","Illumina Genome Analyzer II (Saccharum hybrid cultivar)","high-throughput sequencing","Saccharum hybrid cultivar",0,0,0,"GEO","Feb 24, 2020"
"GPL28191","BGISEQ-500 (Homo sapiens; Mus musculus)","high-throughput sequencing","Homo sapiens;Mus musculus",0,0,0,"GEO","Feb 24, 2020"
"GPL28193","Illumina NextSeq 500 (Mus musculus; Plasmodium chabaudi)","high-throughput sequencing","Mus musculus;Plasmodium chabaudi",0,0,0,"GEO","Feb 24, 2020"
"GPL28194","Illumina NextSeq 500 (Sporothrix schenckii)","high-throughput sequencing","Sporothrix schenckii",0,6,1,"GEO","Feb 24, 2020"
"GPL28186","Illumina HiSeq 2500 (Homo sapiens; Mycobacterium tuberculosis)","high-throughput sequencing","Homo sapiens;Mycobacterium tuberculosis",0,6,2,"GEO","Feb 23, 2020"
"GPL28178","Illumina HiSeq 2000 (Helianthus annuus)","high-throughput sequencing","Helianthus annuus",0,0,0,"GEO","Feb 21, 2020"
"GPL28180","Illumina MiSeq (Mycobacterium phage LadyBird)","high-throughput sequencing","Mycobacterium phage LadyBird",0,1,1,"GEO","Feb 21, 2020"
"GPL28182","Ion Torrent Proton (Bacillus thuringiensis)","high-throughput sequencing","Bacillus thuringiensis",0,14,1,"GEO","Feb 21, 2020"
"GPL28183","Ion Torrent Proton (Klebsiella oxytoca)","high-throughput sequencing","Klebsiella oxytoca",0,14,1,"GEO","Feb 21, 2020"
"GPL28185","Illumina HiSeq 4000 (Homo sapiens; Plasmodium berghei)","high-throughput sequencing","Homo sapiens;Plasmodium berghei",0,31,1,"GEO","Feb 21, 2020"
"GPL24629","Agilent-028178 Mouse Promoter ChIP-on-Chip Microarray","in situ oligonucleotide","Mus musculus",416348,12,2,"Keisuke Katsushima","Feb 20, 2020"
"GPL28175","Illumina NextSeq 500 (Saccharomyces cerevisiae S288C)","high-throughput sequencing","Saccharomyces cerevisiae S288C",0,12,1,"GEO","Feb 20, 2020"
"GPL28173","Illumina NextSeq 500 (Saccharomyces cerevisiae; Schizosaccharomyces pombe)","high-throughput sequencing","Saccharomyces cerevisiae;Schizosaccharomyces pombe",0,48,1,"GEO","Feb 19, 2020"
"GPL28174","NextSeq 550 (Candida albicans SC5314)","high-throughput sequencing","Candida albicans SC5314",0,27,1,"GEO","Feb 19, 2020"
"GPL27859","Agilent-049395 P.falciparum 3D7 048998 [PROBE NAME VERSION]","in situ oligonucleotide","Plasmodium falciparum",7830,3,2,"Yilong Zhang","Feb 18, 2020"
"GPL28172","BGISEQ-500 (Human alphaherpesvirus 1; Mus musculus)","high-throughput sequencing","Human alphaherpesvirus 1;Mus musculus",0,0,0,"GEO","Feb 18, 2020"
"GPL28152","Illumina Goat IGGC_conf_60K Genotyping BeadChip (GoatIGGC_conf_60K)","oligonucleotide beads","Capra hircus",53347,276,1,"Illumina Inc.","Feb 16, 2020"
"GPL28153","HiSeq X Ten (Suaeda salsa)","high-throughput sequencing","Suaeda salsa",0,6,1,"GEO","Feb 16, 2020"
"GPL28148","Agilent-084217 CapitalBio Technology Human CircRNA Array v2 [full-layout]","in situ oligonucleotide","Homo sapiens",175875,12,1,"Zhi Ma","Feb 14, 2020"
"GPL28150","Illumina HiSeq 2500 (Penicillium expansum)","high-throughput sequencing","Penicillium expansum",0,0,0,"GEO","Feb 14, 2020"
"GPL28151","Illumina HiSeq 2500 (Penicillium crustosum)","high-throughput sequencing","Penicillium crustosum",0,0,0,"GEO","Feb 14, 2020"
"GPL28147","Illumina HiSeq 1500 (Equus caballus)","high-throughput sequencing","Equus caballus",0,0,0,"GEO","Feb 13, 2020"
"GPL28008","Qiagen Human Custom RT² PCR Arrays [catalog 331223]","RT-PCR","Homo sapiens",96,6,1,"Peng Shen","Feb 12, 2020"
"GPL28146","Illumina Hiseq 2500 (Homo sapiens; Mus musculus)","high-throughput sequencing","Homo sapiens;Mus musculus",0,2,2,"GEO","Feb 12, 2020"
"GPL27821","Qiagen Human Custom RT² lncRNA qPCR Assay","RT-PCR","Homo sapiens",96,6,1,"Yong Zhou","Feb 11, 2020"
"GPL28145","Illumina HiSeq 2000 (Psychotria revoluta)","high-throughput sequencing","Psychotria revoluta",0,2,2,"GEO","Feb 11, 2020"
"GPL28136","Illumina HiSeq 4000 (Quercus ilex)","high-throughput sequencing","Quercus ilex",0,0,0,"GEO","Feb 10, 2020"
"GPL28137","Illumina HiSeq 2000 (Thalassiosira oceanica CCMP1005)","high-throughput sequencing","Thalassiosira oceanica CCMP1005",0,9,1,"GEO","Feb 10, 2020"
"GPL28138","Illumina HiSeq 2000 (Acropora tenuis; Cladocopium goreaui)","high-throughput sequencing","Acropora tenuis;Cladocopium goreaui",0,0,0,"GEO","Feb 10, 2020"
"GPL28139","Illumina HiSeq 2000 (Acropora tenuis)","high-throughput sequencing","Acropora tenuis",0,0,0,"GEO","Feb 10, 2020"
"GPL28141","Illumina NextSeq 500 (Rhodobacter sphaeroides 2.4.1)","high-throughput sequencing","Rhodobacter sphaeroides 2.4.1",0,0,0,"GEO","Feb 10, 2020"
"GPL28142","Illumina NextSeq 500 (Bordetella bronchiseptica)","high-throughput sequencing","Bordetella bronchiseptica",0,0,0,"GEO","Feb 10, 2020"
"GPL24460","NanoString nCounter [4-gene signature (MMP1, COL4A1, P4HA2 and THBS2)]","other","Homo sapiens",34,575,1,"Igor Jurisica","Feb 07, 2020"
"GPL28134","Illumina NovaSeq 6000 (Anas platyrhynchos)","high-throughput sequencing","Anas platyrhynchos",0,6,1,"GEO","Feb 07, 2020"
"GPL28129","Illumina HiSeq 2500 (Ursus arctos)","high-throughput sequencing","Ursus arctos",0,0,0,"GEO","Feb 06, 2020"
"GPL28133","Illumina NovaSeq 6000 (Streptomyces tsukubensis NRRL18488)","high-throughput sequencing","Streptomyces tsukubensis NRRL18488",0,0,0,"GEO","Feb 06, 2020"
"GPL28114","Agilent-074334 Genotypic_EA933_Japanese_medaka_GXP_4x44K_ArrayDesign (Probe Name version)","in situ oligonucleotide","Oryzias latipes",22833,16,1,"Valerie Langlios","Feb 05, 2020"
"GPL28120","NextSeq 550 (Pseudomonas fluorescens)","high-throughput sequencing","Pseudomonas fluorescens",0,0,0,"GEO","Feb 05, 2020"
"GPL28123","Illumina NovaSeq 6000 (Citrullus lanatus)","high-throughput sequencing","Citrullus lanatus",0,0,0,"GEO","Feb 05, 2020"
"GPL28125","Illumina HiSeq 4000 (Streptomyces tsukubensis NRRL18488)","high-throughput sequencing","Streptomyces tsukubensis NRRL18488",0,0,0,"GEO","Feb 05, 2020"
"GPL28126","NextSeq 550 (Escherichia coli)","high-throughput sequencing","Escherichia coli",0,8,1,"GEO","Feb 05, 2020"
"GPL28127","HiSeq X Ten (Pan troglodytes)","high-throughput sequencing","Pan troglodytes",0,0,0,"GEO","Feb 05, 2020"
"GPL28128","HiSeq X Ten (Homo sapiens; Pan troglodytes)","high-throughput sequencing","Homo sapiens;Pan troglodytes",0,0,0,"GEO","Feb 05, 2020"
"GPL28112","Illumina HiSeq 4000 (Anser cygnoides)","high-throughput sequencing","Anser cygnoides",0,0,0,"GEO","Feb 04, 2020"
"GPL28113","Illumina HiSeq 2500 (Cairina moschata)","high-throughput sequencing","Cairina moschata",0,0,0,"GEO","Feb 04, 2020"
"GPL28115","NextSeq 550 (Bacillus subtilis PY79)","high-throughput sequencing","Bacillus subtilis PY79",0,0,0,"GEO","Feb 04, 2020"
"GPL28116","NextSeq 550 (Staphylococcus aureus)","high-throughput sequencing","Staphylococcus aureus",0,0,0,"GEO","Feb 04, 2020"
"GPL28117","Illumina HiSeq 4000 (Plasmodium berghei)","high-throughput sequencing","Plasmodium berghei",0,4,1,"GEO","Feb 04, 2020"
"GPL27864","NanoString nCounter® Mouse AD panel","other","Mus musculus",805,155,1,"Christoph Preuss","Feb 03, 2020"
"GPL28110","Illumina HiSeq 2500 (Piper nigrum)","high-throughput sequencing","Piper nigrum",0,0,0,"GEO","Feb 03, 2020"
"GPL28109","Illumina HiSeq 2500 (Serratia marcescens)","high-throughput sequencing","Serratia marcescens",0,0,0,"GEO","Feb 02, 2020"
"GPL28103","Illumina MiSeq (Escherichia coli DH5[alpha])","high-throughput sequencing","Escherichia coli DH5[alpha]",0,0,0,"GEO","Jan 31, 2020"
"GPL28104","Illumina NextSeq 500 (Escherichia coli DH5[alpha])","high-throughput sequencing","Escherichia coli DH5[alpha]",0,0,0,"GEO","Jan 31, 2020"
"GPL28108","Illumina HiSeq 2500 (Saccharomyces bayanus; Saccharomyces cerevisiae)","high-throughput sequencing","Saccharomyces bayanus;Saccharomyces cerevisiae",0,0,0,"GEO","Jan 31, 2020"
"GPL28095","Agilent-021542 miRNA-v3.2-8x15K array [Feature Number]","in situ oligonucleotide","Caenorhabditis elegans;Danio rerio;Drosophila melanogaster;Gallus gallus;Homo sapiens;Mus musculus;Rattus norvegicus",15744,0,0,"Andrea J Barczak","Jan 30, 2020"
"GPL28096","Illumina NextSeq 500 (Mycobacteroides chelonae)","high-throughput sequencing","Mycobacteroides chelonae",0,0,0,"GEO","Jan 30, 2020"
"GPL28097","Illumina HiSeq 3000 (Fragaria x ananassa)","high-throughput sequencing","Fragaria x ananassa",0,0,0,"GEO","Jan 30, 2020"
"GPL24141","InfiniumImmunoArray-24v2-0_A","oligonucleotide beads","Homo sapiens",0,170,1,"Marcus Claesson","Jan 29, 2020"
"GPL28090","BGISEQ-500 (Lolium multiflorum)","high-throughput sequencing","Lolium multiflorum",0,4,1,"GEO","Jan 29, 2020"
"GPL28091","Illumina NovaSeq 6000 (Withania somnifera)","high-throughput sequencing","Withania somnifera",0,0,0,"GEO","Jan 29, 2020"
"GPL28092","NextSeq 550 (Bacillus subtilis)","high-throughput sequencing","Bacillus subtilis",0,0,0,"GEO","Jan 29, 2020"
"GPL28093","Illumina MiSeq (Candidatus Thioglobus autotrophicus)","high-throughput sequencing","Candidatus Thioglobus autotrophicus",0,0,0,"GEO","Jan 29, 2020"
"GPL28094","Illumina NextSeq 500 (Bacteroides thetaiotaomicron)","high-throughput sequencing","Bacteroides thetaiotaomicron",0,0,0,"GEO","Jan 29, 2020"
